student_id,school_id,socioeconomic_status_index,retained,dropout_reason,persona_id,persona,academic_risk_index,barrier_burden_index,economic_instability_index,health_burden_index,support_coverage_score
1,41,1,1,,0,Academic Strugglers,0.5460048436902833,1.3011952541846004,0.5293576595106821,4,1.0
2,9,3,1,,1,Stable Achievers,1.2567283037086994,1.2191985706138317,0.4560701725177139,5,1.5
3,2,2,0,academic_performance,2,Health-Constrained,7.745020245885755,1.8668758989021592,,24,1.0
4,31,4,1,,1,Stable Achievers,5.417554501100323,0.8637622672966808,,7,2.0
5,18,4,1,,1,Stable Achievers,1.2436858099848498,1.476370471072809,,10,
6,22,1,1,,0,Academic Strugglers,2.86642636269406,2.600542153208888,0.4907269046532191,6,
7,4,4,1,,1,Stable Achievers,1.8693270000053759,1.3176455306133112,0.3362832690535441,4,1.5
8,18,1,0,household_pressure,0,Academic Strugglers,2.370669876699825,2.391683601260999,0.5700000000000001,3,1.0
9,31,3,1,,1,Stable Achievers,1.3987202910417837,2.080614757336484,0.38585944998543964,5,1.0
10,17,1,1,,0,Academic Strugglers,3.607561393897286,2.1883617882245137,0.5700000000000001,5,2.0
11,40,1,1,,0,Academic Strugglers,1.3126622257989111,,0.4827949408607472,2,
12,38,5,1,,1,Stable Achievers,1.4158671805379726,1.1020228704447135,,20,1.5
13,34,4,1,,2,Health-Constrained,-0.0627919848728557,1.8221532638423237,0.3367842279486677,60,0.0
14,43,2,1,,0,Academic Strugglers,2.3854097973549697,,0.4828958613882438,2,
15,34,1,1,,0,Academic Strugglers,5.05951477197538,2.3498907941740708,0.5700000000000001,1,0.0
16,9,1,1,,0,Academic Strugglers,5.0553390000283365,1.3507952316684522,,3,2.0
17,41,2,1,,0,Academic Strugglers,4.693100965710487,2.094479357135989,,4,1.0
18,31,2,1,,0,Academic Strugglers,0.252899511569643,2.3,0.4756055819776074,12,1.5
19,5,1,1,,0,Academic Strugglers,3.8028243172530134,2.175915588334518,0.5136552350207779,18,1.0
