age_at_enrollment,gender,resource_dilution_index,socioeconomic_status_index,commute_barrier_score,digital_equity_access_score,nutritional_support_access,gpa_trend,failed_subjects_count,strength_science_indicator,chronic_health_risk_score,health_related_absences,social_integration_score,cash_flow_volatility,academic_catchup_status,psychosocial_support_access
14,1,3,1,2.1794630307210396,0,1,1.2385527535168557,3,0,2,8,1,0.30604505851931973,0,0
15,0,2,2,7.178853817022409,0,0,-2.8023641754174218,1,1,2,15,1,0.1503443684295094,0,0
13,0,7,1,5.083862028237837,1,1,0.5580417607909528,1,0,2,10,0,0.16442026277085137,0,0
17,1,1,1,4.419168566741385,1,0,-1.8009098238177255,4,1,2,11,0,0.20143705078978374,1,0
17,0,3,5,1.8837066974221823,0,1,-0.5337283302899598,2,0,1,2,1,0.1524284852846076,0,0
16,0,2,3,6.05547241468786,0,0,-1.5922408646740545,0,0,1,3,1,0.1975274043666681,0,0
17,0,4,4,9.314140220593552,0,0,1.4122558728186845,3,0,1,6,2,0.1418434638870389,0,0
17,0,3,4,10.082771020584696,2,1,0.7037272056552127,1,0,1,8,2,0.17142073971275393,0,0
15,0,2,4,3.7774985277036537,0,1,2.0647939148612107,1,0,1,4,0,0.24064564184097104,0,0
16,1,5,3,13.521628850982868,1,1,0.853459632920877,1,1,1,8,0,0.26656239411479876,0,1
13,1,6,3,4.3556516377462975,2,1,-1.9383937536321267,2,0,3,14,3,0.1435076355181703,0,1
14,0,4,5,2.4433956877629153,0,1,-0.3968900133223944,1,0,1,6,1,0.19244502971769573,0,0
13,1,2,2,4.64921515419113,1,1,-2.9669493023225297,0,0,1,5,2,0.24851302477261794,0,1
17,1,2,5,1.096080105080717,0,1,-1.1170446866860662,3,0,2,8,0,0.30561056166934264,0,0
14,1,5,3,5.1399582735196825,0,0,0.4541509882305325,1,0,2,11,0,0.26616528919507,0,0
13,0,4,5,2.1556296198488614,1,1,-1.288302295978327,2,0,3,18,0,0.15848075387194735,0,0
14,1,3,5,4.145044748125181,0,1,-1.0244523883735854,1,0,1,6,2,0.18561563190022326,0,0
17,0,6,4,3.9385619429514844,1,1,-1.791589005868214,2,1,1,8,0,0.15360973836714145,0,0
16,0,5,2,4.072864597861715,0,0,-0.3334321926190311,3,0,1,5,0,0.26391376192323746,0,0
13,0,6,5,2.4636731357302,0,1,0.4462157915591287,0,1,1,4,3,0.19496633482818376,0,1
17,0,4,4,7.991832472018664,0,0,-0.7034839078451425,5,1,1,3,2,0.21000515035107487,1,0
14,1,1,2,5.504339246422756,0,0,0.4441359625584704,3,0,1,5,0,0.26006179336702806,0,1
15,0,4,5,6.157174867396904,1,1,-3.7094234649248286,1,0,1,5,1,0.2861229102675657,0,0
14,0,2,2,10.275732378924708,0,1,-1.2412295098077095,1,0,1,6,0,0.14034801800854016,0,0
17,0,2,5,8.61413596281323,1,0,1.2485418996396236,0,0,1,6,3,0.2625858264129041,0,0
17,1,4,4,5.351945079999619,0,0,2.3540508438495964,1,0,2,8,0,0.16926549244238814,0,0
14,1,4,4,6.748706660171814,0,1,1.4080782613969232,0,0,2,14,0,0.19059132942156087,0,0
14,0,9,1,5.295453346397253,0,1,-2.1740839331989883,1,0,2,9,1,0.15979309756070312,0,0
13,0,4,2,2.496771626084519,0,0,0.17544052857098186,2,0,3,18,0,0.2475904650677516,0,0
13,1,2,3,1.6593639829893214,1,1,0.9496974746977189,1,0,1,6,1,0.19309374059741552,0,1
16,0,1,1,6.681863314863762,2,1,0.36702163130582144,1,0,1,4,1,0.18185707306328563,0,1
17,0,7,4,2.1097619184570653,1,0,-1.6735043283947588,2,1,1,3,2,0.1371566457978146,0,0
14,0,3,3,8.221038345976355,2,1,-0.29421833647574297,1,0,1,3,2,0.31919482401500654,0,0
14,1,1,5,6.102576884145009,1,1,1.478472680290863,0,1,1,2,3,0.31351489805874505,0,1
13,1,6,3,5.1657604527700505,0,0,-1.6146524990160973,3,0,1,5,3,0.1382221738922661,0,0
14,1,5,5,3.936024405044015,0,0,-1.714896105937202,2,0,3,14,2,0.20528850641531865,0,0
16,1,3,2,8.195777600880636,0,1,0.5258064082203748,1,1,1,7,1,0.2540677074948882,0,0
15,1,5,3,1.7285542372204525,0,1,1.778274994002622,1,0,1,6,1,0.12056123395669616,0,0
16,0,5,3,2.407617892819471,1,0,-0.31513606172336456,2,1,1,6,1,0.23847659843693142,0,1
13,0,4,1,6.925624553326664,0,0,1.1333408236719498,1,0,1,4,0,0.16271689156790703,0,0
16,1,3,2,1.2462849540371643,0,0,0.17940922921153096,3,1,2,14,0,0.3067189220028491,0,1
14,0,3,5,18.23779110682859,1,1,-1.151130556481233,1,1,1,4,3,0.2683635517184817,0,1
13,0,4,3,9.507447137296792,1,1,-1.3391062756464205,0,0,1,7,2,0.2813893800272428,0,1
15,0,4,3,0.4028921942150747,1,0,-2.2093432224919862,2,0,1,5,3,0.2946554488252564,0,1
13,1,2,4,5.624851664019447,1,1,0.5186901800386277,2,0,1,5,1,0.22150199256224817,0,0
16,0,3,5,1.1613823383068291,1,1,0.6630600378416602,1,0,2,9,0,0.18351697128662697,0,1
16,1,3,1,0.7548991712103663,1,0,-2.794731055331143,1,0,1,3,3,0.12465113542379355,0,0
17,0,5,2,3.1299460014569465,2,1,0.24824904268719183,3,0,1,4,1,0.17940754234445258,0,1
16,0,6,5,2.136968864784744,0,1,1.1961963655166041,1,1,1,3,3,0.20978620741746223,0,1
13,1,5,4,4.392511924719985,0,0,-1.010410174299486,2,1,2,13,0,0.1527749248792451,0,0
15,1,5,2,3.517958458782857,0,1,-0.05572967681233873,1,0,2,4,3,0.3199796998836927,0,0
17,1,3,5,1.1339981584933159,0,0,0.10492919546866711,2,0,1,6,1,0.1917732858983852,0,0
17,1,0,4,2.949695852288855,1,0,2.68692500413995,0,0,3,22,1,0.19320891024848363,0,0
13,1,5,2,5.8705076558181,0,0,1.4017600454107768,2,0,3,14,0,0.1375672678038093,0,1
17,1,3,1,5.833521533305634,0,1,3.8636601116531133,4,0,1,5,2,0.2032162358361741,1,0
14,1,4,1,5.106355766338396,1,0,-0.16322304827126147,0,0,1,7,3,0.1303722271228912,0,0
15,1,3,4,2.006333484702344,0,0,0.7699246405152163,0,1,1,5,2,0.21288912688797312,0,0
13,0,2,5,5.783713595645682,1,0,0.4785456799126219,1,0,1,12,1,0.27267125269233705,0,0
16,0,1,4,2.7416137385798423,0,1,2.2304374001654095,6,1,1,2,3,0.21933364504042568,1,0
14,0,2,2,5.867388050177822,1,1,1.9399408347868774,3,0,1,4,1,0.24440241407206115,0,0
17,0,4,1,2.7087090757271337,2,1,0.587387137290071,1,1,1,8,1,0.30853698987634315,0,0
13,1,5,3,1.9566382923914205,0,1,1.1135598996284677,1,0,2,14,2,0.30812149892751944,0,0
16,1,6,2,5.670744942886559,0,0,1.0721274987994913,2,0,1,8,0,0.29681746692482525,0,0
16,0,2,1,1.0159080123472006,1,1,0.7975606176281194,2,0,3,15,0,0.13157098650548252,0,1
13,0,6,1,11.961378435629172,0,1,-1.979122637479231,1,1,1,8,0,0.20152271315799242,0,0
17,0,5,5,5.666366913539421,1,1,0.5461834044083075,4,1,2,7,2,0.19692939554844702,1,1
17,0,6,5,9.998543493811919,0,1,1.232878124139463,1,0,1,5,3,0.16765800793285582,0,0
16,0,1,5,5.339992510779048,2,0,-0.809690189364596,2,0,2,11,0,0.28645284628814416,0,0
16,0,3,4,12.279529536028475,0,0,0.5422204875244909,1,0,1,2,3,0.30284105694148933,0,0
15,0,4,4,9.979345401532951,1,1,-0.8995054227820924,2,1,1,4,0,0.25276500329119,0,0
14,1,3,2,1.1244599575563594,0,0,-0.42919435899945735,1,0,1,7,3,0.16738084841650977,0,0
17,1,2,1,7.429526352828644,1,0,0.6516554590016758,0,0,2,12,1,0.15239539888800813,0,0
14,1,6,2,3.0472445502719987,0,1,1.3398383405452465,2,0,2,7,1,0.23228318227928926,0,0
13,1,6,4,7.613734354943027,0,0,0.8153654338632256,1,0,1,4,1,0.16870925531440972,0,0
16,0,6,2,5.5885816036864355,2,1,0.4747141971553522,3,0,1,5,0,0.31007639756939054,0,0
14,1,2,5,2.291390507074795,1,1,2.1836201583247683,2,1,1,3,3,0.25840547264107017,0,0
16,1,3,5,1.016707028901018,1,1,-1.2708248059898752,0,0,1,5,0,0.1915024708753376,0,0
14,1,3,4,2.2738361945183594,2,1,-1.5747804958885205,2,0,2,16,3,0.14427914756804855,0,1
15,0,6,5,0.4677340409627818,2,0,2.648725755531866,2,1,2,5,2,0.317394184947967,0,0
14,1,4,1,6.051145575660797,2,0,-0.22201140105940187,0,0,3,12,1,0.12008670300276614,0,0
16,1,7,5,5.155004149814029,1,1,-0.7671923823378454,2,0,1,2,2,0.19576168026270083,0,1
16,0,3,1,6.7302919459532475,0,1,0.8363209714657142,2,0,3,8,1,0.23104071579275434,0,1
13,0,3,2,2.145616882560153,0,1,2.377278779208603,2,0,1,1,1,0.29639655287349753,0,0
16,1,6,5,3.6980683858550547,1,0,-0.03441229796374971,1,0,2,8,3,0.2918166833195772,0,0
14,1,6,2,3.0320340631468925,1,0,-1.3983308442629558,1,1,1,2,2,0.22058314837237003,0,0
17,1,1,1,1.6975966027173914,0,0,-1.5694890431671074,2,0,2,7,1,0.1573517103489305,0,0
17,0,5,3,8.651134506847752,0,1,0.9991059900211618,2,1,1,4,1,0.15896306182882264,0,0
17,0,2,1,1.1253883641499325,1,0,-0.18600796306824965,2,0,1,8,1,0.23387100857000132,0,0
15,0,3,2,11.975453567908854,0,1,1.3431642406449043,1,1,3,16,1,0.30763744136273347,0,0
13,0,4,4,9.219074057692138,1,1,2.309886251497033,1,0,2,9,2,0.30504936774346686,0,0
17,1,2,4,1.742546777491531,0,0,0.6467513078464215,1,0,1,5,0,0.2734187767220329,0,0
13,1,1,4,1.5807418883727307,0,0,-2.819939736836285,0,1,1,2,2,0.1498134162662353,0,1
17,0,5,2,4.843748231612891,2,0,1.700344660988104,0,0,2,12,2,0.16227284518680568,0,0
13,1,6,4,0.6157919266456806,0,0,0.9333950767405554,2,0,1,3,2,0.23289124815487078,0,1
13,0,1,1,1.4795834032434672,1,1,-2.532928464107508,2,0,2,6,2,0.21765284643124705,0,0
14,1,1,4,2.5864130477916576,2,1,-3.0134302159687176,2,0,1,6,0,0.22518976380799194,0,0
16,1,4,3,2.221083024636496,1,1,-0.19089893886343623,0,1,2,7,2,0.13602467975759053,0,0
14,1,6,4,10.487845391662558,1,1,1.4389238253413594,2,0,1,3,0,0.15178662309382682,0,0
14,1,5,1,2.9270300535018428,1,0,1.3912568058233363,5,0,2,12,3,0.16778475607541476,1,0
17,1,4,1,5.889070673968979,0,0,-2.346584721423288,1,1,1,5,0,0.16561247469471016,0,1
15,0,3,2,4.393508728294865,1,1,-0.33465661831704935,2,0,1,4,1,0.23693506223657507,0,0
14,1,3,5,2.923932328949949,1,1,1.8151085394675077,1,1,1,3,1,0.22913883717874312,0,0
17,0,7,2,1.3783990002679993,1,1,-0.40010309250186904,2,0,1,10,2,0.24947871128753443,0,0
15,1,4,4,5.7870657831757555,0,1,-1.79018597391191,1,0,1,7,1,0.2534190333569959,0,0
17,1,5,4,3.875632074919176,1,1,0.40580276199311194,2,0,1,4,1,0.18710029676240186,0,0
16,1,5,4,6.365120614380929,0,0,-3.545808001861963,3,0,1,5,3,0.2283200789781438,0,0
16,1,8,1,3.480457649427981,1,0,-4.0,2,0,2,11,2,0.14382299978581603,0,1
15,0,1,4,0.5772906532475065,1,1,0.21850915533342058,2,1,1,7,3,0.12213043549577571,0,0
14,0,3,3,7.136656264757118,0,1,-1.1487058083270303,1,0,1,4,1,0.15686461236934057,0,0
13,1,9,3,10.584172102275458,2,0,2.8813246531992314,2,0,1,3,3,0.17766419227968597,0,0
13,0,6,4,5.507946251214571,0,1,0.5949904092988995,0,0,2,9,1,0.21157793850671924,0,0
13,0,6,5,4.0586480574452795,1,0,1.9441272509383425,1,0,1,9,1,0.1418328136895946,0,0
13,0,4,3,2.1143076283068964,1,0,0.9906667104902636,0,1,1,2,0,0.1438825173351721,0,0
15,1,7,4,6.699611454075316,0,0,0.3823675863900825,1,0,1,6,1,0.1904565095493285,0,1
16,1,1,1,1.8541387638177875,2,0,1.2287019340758472,1,0,2,11,3,0.2217855027465475,0,1
16,1,1,2,5.81435820344888,0,1,0.7983545830111953,4,0,1,6,0,0.1518538732128541,1,0
13,1,2,3,3.4707249887637035,0,0,-1.6234166248191046,2,0,1,8,3,0.14826997050267987,0,0
15,0,1,3,4.442248089554531,1,1,2.2535005910632617,3,1,2,12,0,0.2321130730709198,0,0
16,0,3,4,4.019145033052097,0,1,-0.7321991613420471,1,0,3,8,3,0.2284729811828372,0,0
15,0,10,2,11.090464756359212,1,1,1.0723925586310092,1,1,1,6,0,0.1823693755249009,0,1
13,1,1,4,4.995599565867415,2,0,-1.3861591950110224,0,0,1,9,2,0.27632163152584416,0,0
14,1,0,3,5.875611101470417,0,0,0.5130709344111795,1,0,1,6,2,0.1417331206014702,0,1
17,0,5,4,7.884109643317768,0,1,0.24058898306709778,1,1,1,4,3,0.2904736313610108,0,0
13,0,4,2,5.524722163702428,2,1,-1.4296169555839804,0,0,1,2,1,0.308470866699327,0,1
13,1,3,5,1.1498104677246572,0,0,-0.249832779929979,2,1,1,7,1,0.16493581549899677,0,0
14,0,4,1,3.934755567420872,0,0,-0.17410576533410232,2,0,1,5,2,0.22585681895862758,0,1
14,1,4,3,3.120317737436335,0,1,-0.740796861111642,4,0,1,4,1,0.2965874841194625,1,1
14,1,4,1,8.852078580259642,0,1,2.001253703278559,4,0,1,6,1,0.17528118493383454,1,1
17,0,3,5,20.0,2,0,-0.5846768187626037,0,0,1,4,2,0.2160377295115933,0,0
17,0,4,2,3.157257510192074,1,0,-0.6287283326293424,2,0,3,11,1,0.24822697471945085,0,0
16,1,4,4,6.025164421260083,0,0,0.3190346653447797,0,0,1,4,0,0.15198880158020212,0,1
17,1,5,2,4.983873135182327,0,1,-0.37846397432306417,0,1,2,14,2,0.2413206260471718,0,0
16,0,2,5,0.32399212129645505,1,1,-0.5459824386222049,1,0,1,4,2,0.2436953134808092,0,0
17,0,3,3,2.8113550185955387,2,1,-1.49539408813241,1,1,2,18,2,0.18590737664197488,0,1
15,0,6,5,5.618175008397685,0,0,2.1787550748314266,1,1,1,2,0,0.1941810269842057,0,0
14,1,3,5,9.47514178005489,1,1,-0.61253207958047,3,1,1,7,1,0.160171464185541,0,0
14,1,2,3,1.6731529241058332,1,0,0.8249918961790654,0,1,3,18,3,0.1910795771791005,0,1
14,1,5,1,2.422991447241976,0,1,1.7372496328541787,2,1,1,5,3,0.2948560973711779,0,1
17,0,6,5,0.5830207869302808,0,1,0.6005171593511767,0,0,1,6,1,0.1766175942018821,0,0
13,1,1,5,5.406115778828923,0,0,0.1823829619715286,2,0,2,6,3,0.29466648880918644,0,0
16,1,3,4,0.8491035751806776,1,1,0.15158682171118287,2,1,1,7,2,0.21004591923578397,0,1
13,0,5,3,3.8712339091319596,0,0,-2.544016705685332,2,0,1,9,1,0.22267204214058492,0,1
17,1,6,1,1.3733380550160603,0,1,-2.3199403003862593,1,0,2,7,1,0.21776594845735547,0,0
17,0,3,5,4.777240972936192,0,0,-2.26507067217431,2,0,1,2,1,0.2188805210983823,0,0
17,0,3,4,4.791494087860254,0,1,0.7326265377338061,0,0,1,3,3,0.2511262626756423,0,0
16,0,3,1,1.488113521910822,2,0,3.2467835913667358,1,0,1,6,2,0.24975030168606435,0,1
14,1,4,1,3.142234385338721,2,0,0.009113727440028474,2,0,1,2,3,0.2037041456746073,0,0
14,1,6,5,4.8178648403238595,1,0,-0.4724827652651698,1,0,2,11,2,0.3054485680286706,0,0
13,0,3,1,3.0930101811361697,1,1,-0.6993819181834179,2,0,1,1,3,0.3125540337714245,0,0
16,1,3,2,7.361323358624094,0,1,0.08532742352150252,1,0,2,10,3,0.2859034180848209,0,0
16,1,8,2,8.397380245676588,1,0,-0.398275791165298,2,0,1,0,1,0.2842229481600832,0,0
17,1,5,5,5.875657778212781,0,0,1.1121689589840806,0,1,1,10,3,0.23718454792599897,0,0
14,1,3,1,0.6933905221815378,0,1,-1.4402312801023944,6,0,1,6,0,0.2921980683869827,1,0
