student_id,school_id,age_at_enrollment,gender,resource_dilution_index,socioeconomic_status_index,commute_barrier_score,digital_equity_access_score,nutritional_support_access,gpa_trend,failed_subjects_count,strength_science_indicator,chronic_health_risk_score,health_related_absences,social_integration_score,cash_flow_volatility,academic_catchup_status,psychosocial_support_access,retention_risk_score,retained
1,2,15,1,5,1,20.0,1,1,-1.9081939306698417,3,0,1,5,0,0.23760622810253482,0,0,0.1923,0
2,7,14,1,7,1,10.847135856131041,0,1,-3.3870551161840434,3,0,1,9,0,0.315261548830439,0,0,0.2512,0
3,14,15,0,3,4,6.293674284570823,0,0,-1.1495067592933004,2,0,1,7,1,0.27888953029409436,0,0,0.673,1
4,14,16,0,3,4,2.3098699588906726,1,1,-0.05613304762438537,0,1,1,4,0,0.23566842027230767,0,0,0.9411,1
5,20,13,1,9,1,2.3282571847510476,0,1,-1.5513772171461222,2,0,2,9,1,0.2776728683896331,0,0,0.7617,0
6,6,16,1,3,3,7.377725761475812,2,1,-1.6521443046254487,4,0,1,5,2,0.2764327543728692,1,1,0.8441,1
7,13,17,1,7,4,3.596532823905656,0,0,0.3565623586897746,2,0,1,5,0,0.2651019573720233,0,0,0.9082,0
8,3,16,0,7,1,10.745203306170723,1,0,-1.8156366582572905,3,0,2,10,0,0.32,0,1,0.2802,0
9,14,15,1,7,5,14.308178803966811,1,1,-0.544684908229546,2,0,1,2,2,0.24741760404204777,0,1,0.7708,0
10,1,13,1,5,3,20.0,0,0,0.2352275821109265,0,1,1,10,0,0.21553296287596646,0,0,0.3864,0
11,8,17,0,5,1,7.603218272941738,0,1,-0.43385376788571584,0,0,1,1,1,0.32,0,0,0.945,1
12,1,16,1,3,2,1.7320934083697412,0,1,-0.7188305580418463,1,0,1,2,2,0.3025083277083861,0,1,0.8967,1
13,8,13,1,5,4,3.9318444339334833,1,1,0.19189750659363392,1,0,1,6,1,0.2622863456944051,0,0,0.9069,1
14,16,13,0,6,4,4.181364572020454,1,0,-1.0871650089518252,1,0,1,7,0,0.1844840268741413,0,1,0.8678,1
15,2,14,1,5,2,18.59957390430631,1,1,-0.8199488959417801,1,0,3,12,0,0.32,0,0,0.6254,0
16,17,17,1,5,4,1.5872263688438608,1,1,0.27246767701829755,1,0,1,5,1,0.16976388863813693,0,0,0.9632,1
17,7,13,0,8,1,14.54343468545352,1,1,-1.4730505853758955,1,1,1,5,1,0.32,0,0,0.492,0
18,5,15,0,7,3,5.359488096639435,0,1,-0.5240872104020411,1,0,2,9,0,0.19546863523500055,0,0,0.7763,1
19,20,13,1,5,1,9.630983611358332,0,1,-4.0,5,0,3,16,1,0.295457373787866,1,0,0.2038,0
20,17,17,1,13,3,4.905013617015839,0,1,-0.9495471077446778,3,0,1,6,1,0.2523325284416097,0,1,0.5764,1
21,18,15,1,7,3,2.2386259018353134,1,0,-0.9452439628270134,1,0,2,17,0,0.25593576316330613,0,0,0.8287,1
22,10,13,1,4,1,7.037721330807866,0,1,-1.5073258815208759,1,0,1,8,0,0.32,0,0,0.535,1
23,16,17,0,7,2,2.6743932561318444,0,1,-1.363087249563439,1,0,1,6,0,0.3136769898609732,0,1,0.8005,1
24,16,14,0,3,1,7.375376558114606,1,1,-1.3792496758918813,4,0,1,6,1,0.3012330898345103,1,0,0.651,1
25,10,17,1,5,4,5.334272661332275,1,0,-0.8368817525126422,0,0,1,4,1,0.26893739741937206,0,1,0.7662,1
26,7,16,1,3,3,2.3406856162367897,0,1,-1.4215240500438902,1,0,2,12,0,0.27372296474163227,0,1,0.7803,1
27,9,16,0,7,3,10.192593545550485,1,0,-0.723575043811966,1,0,1,7,0,0.19715587514436883,0,0,0.6252,1
28,1,17,0,7,2,7.053599859575296,0,1,-0.7012625050091579,0,1,1,5,2,0.29641373158200457,0,0,0.8976,1
29,16,13,0,10,4,7.033448926339954,1,1,0.2979305446912701,2,0,2,10,1,0.19051701636111823,0,0,0.7833,1
30,4,13,1,9,2,2.31364177470531,2,1,-2.1033830133952875,2,0,3,10,1,0.24550239548700997,0,0,0.7518,1
31,5,13,0,5,3,4.905718962215836,0,1,-0.4418891853269745,2,0,1,6,2,0.2754808185267133,0,0,0.8081,1
32,2,13,0,6,4,5.507539351925191,2,1,-1.0349706246659227,1,0,1,4,1,0.22489626464867143,0,0,0.8955,1
33,6,15,0,7,1,0.2284851952602281,0,1,-1.3642811486092157,0,0,1,1,0,0.25326424800927233,0,0,0.8506,1
34,10,16,0,4,3,11.98044067441504,0,1,0.1780656046062577,0,0,1,6,1,0.23462544581804048,0,0,0.7554,0
35,18,13,1,9,1,3.7155656293821875,1,1,-4.0,6,0,1,6,0,0.2514192839063982,1,0,0.2682,0
36,20,13,0,6,4,8.878221381675688,2,1,-0.42249758861627085,1,1,1,6,0,0.2430044152397599,0,0,0.9317,1
37,3,14,0,6,3,6.93883395846701,0,1,-0.7887286829194025,2,0,1,5,0,0.2097816967052967,0,1,0.7347,1
38,4,14,0,9,3,2.557509506994777,0,0,-0.6582566029741195,1,0,1,5,0,0.26492144770862097,0,1,0.8074,1
39,4,13,0,7,2,13.12746966843399,0,1,-0.17502427785011487,1,0,2,12,0,0.30169606908947627,0,0,0.5646,1
40,10,17,1,4,5,9.186344967520085,0,1,-0.11729708851762966,2,0,1,10,0,0.2389088204672123,0,0,0.7507,0
41,7,15,0,4,2,5.047633618169104,1,1,-2.9462886403836857,3,0,1,6,3,0.313216287271464,0,0,0.5716,0
42,1,15,1,4,5,3.8344066255075004,2,1,0.5567529643318729,0,1,2,11,2,0.15224151488278254,0,1,0.9856,1
43,14,13,0,4,2,5.261552270224816,2,1,-0.5576278451167127,1,0,1,4,0,0.24551772274097686,0,0,0.8016,1
44,6,16,0,11,2,11.960051065520611,1,1,-0.5045929029570426,2,0,1,7,1,0.30626787420651597,0,0,0.5687,1
45,16,14,1,2,2,2.2281714028887762,1,0,-1.7058661375911344,2,0,1,7,1,0.32,0,0,0.7411,0
46,12,16,0,8,4,8.610001834047065,0,1,-1.3306684671636333,1,0,1,3,0,0.18058577199423592,0,0,0.8676,1
47,12,16,1,2,1,11.987029367412394,1,1,-1.143870239349745,0,1,1,6,1,0.30767870153264526,0,0,0.7889,1
48,13,17,1,6,4,4.201521667245177,2,1,-0.8887644357858219,2,0,3,11,0,0.17521331700636514,0,0,0.9327,1
49,15,17,1,6,2,20.0,0,1,-2.109787119893273,2,1,2,10,0,0.30686728085151527,0,0,0.2985,0
50,8,16,0,1,2,8.154251676747172,1,1,-3.0505232161541396,3,0,2,9,0,0.2915453441817007,0,1,0.7878,0
51,1,17,1,3,2,4.500164824260916,0,1,-1.3599567758132334,2,0,1,8,0,0.2925959594696931,0,0,0.5321,1
52,8,17,0,4,5,0.5401991326681354,1,1,-0.6092831768154714,0,1,1,7,2,0.1975924357830737,0,0,0.9714,1
53,3,15,0,2,2,9.265137126822708,0,1,-3.0375972381025016,4,0,2,6,2,0.2771054716376824,1,0,0.4635,1
54,5,16,1,4,3,9.320251155651178,0,1,-0.6647633972029915,0,0,1,5,0,0.19231009153767872,0,1,0.8357,1
55,1,16,1,5,3,7.943293997469134,0,1,-0.7020381631286575,0,0,1,3,2,0.24479599598556584,0,0,0.8738,1
56,2,13,1,8,3,3.618891762431871,1,0,-0.7314947126038165,2,0,3,15,0,0.28855875135459363,0,1,0.8045,0
57,3,16,1,8,2,12.684209133726352,1,1,-0.22706370955067867,1,0,1,1,1,0.32,0,0,0.677,0
58,16,16,0,3,5,1.4903534311836275,2,0,-0.5647172100681722,2,0,2,10,0,0.16506456586347315,0,0,0.9045,1
59,1,17,1,7,1,1.2035149524300606,0,1,-4.0,7,0,1,3,0,0.27915200439243787,1,0,0.1641,0
60,15,15,0,4,4,3.7280305169249472,1,0,-0.24880957621099034,1,0,1,7,2,0.22592435059045454,0,0,0.9353,1
61,12,14,0,8,1,4.046843171919033,0,1,-3.359628270403244,4,0,1,7,1,0.27371084833125775,1,0,0.5861,1
62,2,14,0,3,1,2.323130952550892,0,0,-1.2055471105247029,3,0,1,8,1,0.28182092419562466,0,0,0.5977,0
63,15,17,1,1,1,14.411164666845815,0,0,-1.029911289638591,1,0,1,4,2,0.3158802144677672,0,0,0.7635,0
64,1,17,1,3,3,5.556400585802206,0,1,-0.36855217013363417,1,0,1,7,0,0.22889673377115435,0,0,0.7955,0
65,20,13,1,4,1,10.113237788697644,0,1,-4.0,7,0,2,9,0,0.3000297449105631,1,0,0.2272,0
66,20,15,1,2,1,11.256844939340992,0,1,-1.872205350486383,3,0,1,5,1,0.29680929017035934,0,0,0.6819,1
67,17,14,0,5,5,6.875852982558017,2,0,-0.5357820072304583,2,0,1,2,3,0.23214321543076571,0,0,0.9066,0
68,4,15,0,4,1,17.400927345684334,0,1,-2.1557562342286265,3,1,1,3,0,0.26475871459733524,0,1,0.4761,0
69,20,14,0,2,5,5.37651541642571,1,1,1.0181590412298387,1,1,2,12,1,0.23554991494407584,0,0,0.9507,1
