student_id,school_id,age_at_enrollment,gender,resource_dilution_index,socioeconomic_status_index,commute_barrier_score,digital_equity_access_score,nutritional_support_access,gpa_trend,failed_subjects_count,strength_science_indicator,chronic_health_risk_score,health_related_absences,social_integration_score,cash_flow_volatility,academic_catchup_status,psychosocial_support_access,retention_risk_score,retained,dropout_reason
1,41,15,1,3,1,6.023905083692009,2,0,-0.5460048436902833,0,1,1,4,1,0.2793576595106821,0,0,0.9347,1,
2,9,17,1,5,3,2.3839714122766336,1,0,-0.2567283037086994,1,0,1,5,2,0.30607017251771396,0,1,0.9799,1,
3,2,16,0,4,2,1.337517978043183,0,1,-2.7450202458857547,5,0,2,12,2,,1,0,0.7586,0,academic_performance
4,31,14,0,5,4,9.275245345933616,2,0,-1.4175545011003234,4,0,1,7,0,,1,1,0.872,1,
5,18,15,1,5,4,1.5274094214561744,0,0,-0.24368580998484987,1,0,2,5,2,,0,,0.9564,1,
6,22,17,1,2,1,12.010843064177761,0,1,-0.8664263626940598,2,0,1,6,1,0.24072690465321914,0,,0.9221,1,
7,4,17,0,3,4,8.352910612266225,1,1,0.13067299999462412,2,0,1,4,0,0.23628326905354413,0,0,0.9826,1,
8,18,14,1,12,1,7.833672025219984,0,1,-1.3706698766998247,1,0,1,3,0,0.32,0,0,0.7991,0,household_pressure
9,31,14,0,3,3,9.612295146729675,0,1,-0.39872029104178386,1,0,1,5,1,0.23585944998543962,0,0,0.9586,1,
10,17,13,1,4,1,3.76723576449027,0,1,-1.6075613938972857,2,0,1,5,1,0.32,0,1,0.9125,1,
11,40,16,0,3,1,7.164317631667672,,1,-0.31266222579891123,1,0,1,2,2,0.23279494086074726,0,0,0.9252,1,
12,38,14,0,5,5,8.040457408894271,1,0,-0.4158671805379725,1,0,2,10,2,,0,1,0.9764,1,
13,34,14,0,5,4,8.443065276846477,0,0,0.06279198487285576,0,1,3,20,1,0.2367842279486677,0,0,0.9261,1,
14,43,14,1,1,2,10.314042964809003,,1,-1.3854097973549697,1,0,1,2,1,0.28289586138824385,0,0,0.9031,1,
15,34,13,1,4,1,6.9978158834814135,0,0,-2.05951477197538,3,0,1,1,1,0.32,0,0,0.8201,1,
16,9,13,0,5,1,7.015904633369045,2,1,-2.055339000028336,3,0,1,3,2,,0,0,0.92,1,
17,41,15,0,4,2,5.88958714271978,0,1,-1.6931009657104872,3,0,1,4,1,,0,0,0.8513,1,
18,31,15,1,3,2,20.0,1,1,-0.252899511569643,0,0,2,6,0,0.2756055819776074,0,0,0.8685,1,
19,5,14,0,5,1,3.5183117666903545,0,1,-1.8028243172530134,2,0,2,9,0,0.26365523502077803,0,0,0.939,1,
20,15,16,0,8,2,,0,1,0.5719732069187167,0,0,1,9,0,0.23694162361493348,0,1,0.9557,1,
21,8,14,1,4,1,4.690356154002361,0,1,-2.4638365927586423,3,1,2,9,0,0.25611363666251047,0,0,0.7103,1,
22,46,15,1,2,1,4.2658838018527945,0,1,-2.472348675363016,3,0,2,13,0,0.32,0,0,0.5823,0,financial_instability
23,35,14,0,4,4,12.178595353515176,1,1,-0.5931625120680203,0,0,1,10,2,0.18584960459020483,0,,0.9414,1,
24,44,15,0,5,3,9.680209601131486,0,1,-2.0954867081014794,4,0,3,11,0,0.2234958287571595,1,0,0.5908,1,
25,14,13,0,5,4,8.182544934420592,2,1,-1.0138914403802364,1,0,1,7,0,0.266673548276652,0,0,0.9563,1,
26,30,17,0,4,3,3.951127614253684,1,1,-1.217611073794879,2,0,1,4,1,0.29753286945061375,0,0,0.9356,1,
27,29,14,1,4,2,2.940123151898464,0,1,-2.301063098144272,3,0,2,11,0,0.27426069167977013,0,,0.7118,1,
28,36,14,1,4,3,15.139189516257993,0,1,-0.9091536880333273,1,0,1,5,0,0.3097789489213766,0,1,0.8997,1,
29,6,16,0,5,4,2.5217300833568035,1,1,-1.0819204766914075,4,0,2,8,1,0.16579945900947735,1,0,0.8959,1,
30,25,15,0,6,5,10.50979577411439,2,1,0.6595175605832757,0,0,3,12,1,0.21721169958913372,0,0,0.9769,1,
31,31,16,0,3,2,10.378356651044811,1,1,-0.4389634181429168,1,0,1,1,1,0.2459213185988122,0,0,0.9421,1,
32,39,17,1,4,4,,2,0,-0.6981208242478902,1,1,1,8,2,,0,0,0.9711,1,
33,31,16,0,6,4,7.258295780721109,0,1,-0.4384751094963637,1,0,2,10,2,0.27611133801989873,0,1,0.9291,1,
34,22,15,1,4,1,2.7271957132236424,1,0,-2.875063032173783,4,0,1,10,0,0.2871122701278706,1,0,0.7129,1,
35,22,14,1,7,3,5.072723311420497,1,1,-1.1460990926117358,0,1,1,5,2,0.2814751207771552,0,1,0.986,1,
