student_id,school_id,persona,ses_quintile,dropout_risk,retained,match_rank,intervention_id,intervention,persona_priority,signal_boost,fit_score,priority_score,unit_cost_kes,sponsor_action,owner
231,16,Academic Strugglers,1,0.834,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.971,8000,Fund remedial / catch-up classes,School + education NGO
155,5,Health-Constrained,1,0.786,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.757,5000,Medical vouchers + attendance follow-up,School health partner
603,23,Academic Strugglers,1,0.775,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.711,8000,Fund remedial / catch-up classes,School + education NGO
838,4,Academic Strugglers,1,0.764,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.66,8000,Fund remedial / catch-up classes,School + education NGO
843,5,Academic Strugglers,1,0.76,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.645,8000,Fund remedial / catch-up classes,School + education NGO
432,14,Academic Strugglers,2,0.751,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.603,8000,Fund remedial / catch-up classes,School + education NGO
582,20,Health-Constrained,1,0.74,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.557,5000,Medical vouchers + attendance follow-up,School health partner
939,8,Academic Strugglers,1,0.734,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.527,8000,Fund remedial / catch-up classes,School + education NGO
896,11,Health-Constrained,1,0.728,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.505,5000,Medical vouchers + attendance follow-up,School health partner
824,41,Academic Strugglers,1,0.727,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.498,8000,Fund remedial / catch-up classes,School + education NGO
537,42,Health-Constrained,2,0.725,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.488,5000,Medical vouchers + attendance follow-up,School health partner
792,33,Academic Strugglers,2,0.723,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.483,8000,Fund remedial / catch-up classes,School + education NGO
415,20,Academic Strugglers,1,0.72,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.47,8000,Fund remedial / catch-up classes,School + education NGO
647,46,Academic Strugglers,1,0.718,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.459,8000,Fund remedial / catch-up classes,School + education NGO
151,46,Academic Strugglers,1,0.711,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.43,8000,Fund remedial / catch-up classes,School + education NGO
513,2,Academic Strugglers,1,0.711,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.428,8000,Fund remedial / catch-up classes,School + education NGO
193,4,Academic Strugglers,1,0.707,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.412,8000,Fund remedial / catch-up classes,School + education NGO
