student_id,school_id,persona,ses_quintile,dropout_risk,retained,match_rank,intervention_id,intervention,sponsor_action,need_score,match_reason,est_unit_cost_kes,priority_score
231,7,Academic Strugglers,1,0.775,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.652
603,10,Academic Strugglers,1,0.775,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.651
843,3,Academic Strugglers,1,0.76,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.561
432,6,Academic Strugglers,2,0.751,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.504
630,18,Academic Strugglers,1,0.742,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.452
939,4,Academic Strugglers,1,0.734,1,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.401
896,5,Health-Constrained,1,0.728,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.37
824,18,Academic Strugglers,1,0.727,1,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.36
792,14,Health-Constrained,2,0.723,1,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.34
415,9,Academic Strugglers,1,0.72,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.323
537,18,Health-Constrained,2,0.718,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.308
157,6,Health-Constrained,1,0.716,1,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.297
155,3,Health-Constrained,1,0.708,0,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.248
193,2,Academic Strugglers,1,0.707,1,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.243
61,20,Academic Strugglers,1,0.699,1,1,school_fee_support,School Fee Support,Cover term fees / bursary for high cash-flow volatility + low SES students,6.0,"low SES, high cash-flow volatility, economic instability, elevated dropout risk",15000,4.192
