feature,importance,feature_clean
impute_scale__health_burden_index,0.365332941875836,Health Burden Index
impute_scale__academic_ses_interaction,0.36467487678041915,Academic Ses Interaction
impute_scale__chronic_health_risk_score,0.34915438099586443,Chronic Health Risk Score
impute_scale__barrier_burden_index,0.27922831639414747,Barrier Burden Index
impute_scale__cash_flow_volatility,0.2642058094535984,Cash Flow Volatility
impute_scale__health_related_absences,0.25590959587563,Health Related Absences
impute_scale__social_integration_score,0.25559136838812135,Social Integration Score
impute_scale__absence_intensity,0.1773536411930101,Absence Intensity
passthrough__psychosocial_support_access_missing,0.1725716339428883,Psychosocial Support Access Missing
impute_scale__long_commute_flag,0.17050909151581914,Long Commute Flag
impute_scale__nutritional_support_access,0.1702061736013224,Nutritional Support Access
impute_scale__health_commute_interaction,0.1680143157371921,Health Commute Interaction
impute_scale__failed_subjects_count,0.16522993090131244,Failed Subjects Count
passthrough__commute_barrier_score_missing,0.16376930528917993,Commute Barrier Score Missing
impute_scale__digital_equity_access_score,0.13147500338927784,Digital Equity Access Score
impute_scale__ses_commute_interaction,0.1279038335889419,Ses Commute Interaction
impute_scale__commute_barrier_score,0.12389602434660957,Commute Barrier Score
impute_scale__socioeconomic_status_index,0.1221055386224676,Socioeconomic Status Index
impute_scale__ses_disadvantage_score,0.1221055386224676,Ses Disadvantage Score
impute_scale__gender,0.121080018609207,Gender
impute_scale__academic_risk_index,0.11531697261453527,Academic Risk Index
impute_scale__support_coverage_score,0.11439338394590623,Support Coverage Score
impute_scale__household_pressure_index,0.09857950723554106,Household Pressure Index
passthrough__digital_equity_access_score_missing,0.09702833205799573,Digital Equity Access Score Missing
impute_scale__no_digital_access_flag,0.09530961682860105,No Digital Access Flag
impute_scale__stem_resilience_flag,0.09347140363199996,Stem Resilience Flag
impute_scale__school_id,0.09097987690045145,School Id
passthrough__any_survey_missing,0.08157912138232773,Any Survey Missing
impute_scale__strength_science_indicator,0.07913220626879655,Strength Science Indicator
impute_scale__high_academic_risk_flag,0.07492806601938272,High Academic Risk Flag
impute_scale__psychosocial_support_access,0.0617457587345113,Psychosocial Support Access
impute_scale__age_at_enrollment,0.05971256790981341,Age At Enrollment
impute_scale__economic_instability_index,0.05808981992110129,Economic Instability Index
impute_scale__resource_dilution_index,0.05242588212531118,Resource Dilution Index
impute_scale__gpa_trend,0.034398684660935305,Gpa Trend
impute_scale__low_social_integration_flag,0.021899774318148896,Low Social Integration Flag
passthrough__cash_flow_volatility_missing,0.014637864037388109,Cash Flow Volatility Missing
