student_id,school_id,socioeconomic_status_index
297,30,4
806,19,1
823,19,1
20,15,2
419,10,2
39,7,3
522,47,2
117,38,2
383,47,3
614,27,1
100,26,2
742,18,5
189,28,1
997,17,2
842,1,3
307,14,2
912,7,4
425,12,4
945,38,2
417,41,1
472,18,3
921,34,3
251,4,1
261,9,1
908,32,4
544,45,1
685,39,2
682,43,1
317,7,1
229,23,2
764,25,4
126,24,3
616,19,2
780,8,4
162,14,4
132,47,1
492,2,1
538,42,3
119,2,5
499,11,1
775,12,5
376,4,1
567,33,5
459,15,1
240,25,2
114,28,5
810,3,2
625,46,2
421,16,4
87,5,3
242,31,4
564,9,3
548,35,3
174,24,1
234,4,4
540,26,3
409,22,2
451,19,1
489,26,1
609,24,5
7,4,4
659,19,2
953,8,2
795,19,2
520,27,4
536,1,2
28,36,3
461,31,5
612,16,3
883,27,3
448,26,1
872,7,2
112,32,3
325,8,1
336,2,2
668,33,1
25,14,4
833,43,4
938,1,2
725,15,1
10,17,1
170,1,2
286,5,4
820,35,4
482,37,1
301,3,4
403,34,5
178,27,3
630,41,1
3,2,2
829,21,1
151,46,1
621,18,2
930,11,4
445,6,2
420,42,2
748,23,3
911,24,2
361,23,2
811,18,4
959,24,2
60,15,1
330,18,1
846,29,2
583,23,1
282,29,2
1,41,1
993,30,2
602,35,3
515,3,2
942,19,4
897,47,1
355,14,1
956,42,4
983,26,2
863,35,3
722,31,1
385,1,1
179,27,1
556,6,1
705,7,4
853,28,2
782,36,2
558,16,1
598,24,1
309,32,2
923,22,2
926,44,3
326,12,3
570,42,2
270,11,5
784,18,2
371,38,5
869,22,3
510,30,4
352,4,1
958,13,2
582,20,1
26,30,3
655,35,3
24,44,3
120,38,3
839,17,2
700,37,4
696,10,4
106,20,4
807,44,3
291,12,3
188,38,4
658,42,5
797,26,4
836,27,3
438,28,2
934,20,3
629,30,1
732,18,1
765,46,2
476,32,5
946,10,2
14,43,2
490,7,1
450,20,3
47,40,4
626,25,4
331,2,2
984,25,2
257,13,4
563,43,4
595,12,1
701,37,1
754,42,2
224,16,2
388,28,1
154,8,5
220,16,1
161,47,3
82,33,3
937,31,5
382,8,1
404,31,1
496,4,4
129,9,5
92,24,2
460,42,4
468,27,2
758,12,2
372,30,4
368,47,2
772,15,5
597,11,2
512,35,4
23,35,4
498,6,2
63,44,1
123,36,1
631,10,5
70,17,1
723,12,5
318,9,5
199,37,1
334,46,1
384,26,2
374,35,4
922,40,1
49,22,1
672,19,4
803,30,3
275,45,3
4,31,4
740,10,5
589,8,1
370,13,4
273,34,1
467,26,2
166,23,3
68,29,1
458,26,3
412,37,1
960,40,1
590,36,3
986,36,1
789,4,3
230,14,3
444,24,4
737,15,1
918,11,2
217,17,4
800,29,1
890,14,2
278,17,5
365,11,5
346,27,4
335,28,1
969,39,2
610,9,4
313,12,5
999,16,2
169,17,2
293,3,2
530,31,2
854,16,4
699,30,4
9,31,3
547,37,3
985,10,2
339,33,3
315,13,2
892,10,3
927,2,3
59,32,4
328,37,2
717,16,4
669,24,2
456,46,1
600,34,1
93,23,1
884,23,4
502,47,5
139,35,1
35,22,3
900,29,2
555,29,2
673,40,1
702,8,3
683,21,1
177,22,2
183,9,5
152,30,5
815,32,5
947,32,3
680,45,2
605,41,1
572,42,1
69,10,3
379,20,2
920,5,2
125,35,5
90,11,4
288,17,4
64,42,3
848,38,1
949,42,3
473,24,1
857,3,5
337,27,2
21,8,1
721,27,1
457,8,2
274,34,1
845,39,5
233,20,1
638,5,1
950,16,1
561,20,4
743,16,2
405,2,3
96,9,3
504,8,5
15,34,1
73,38,1
633,3,3
359,44,2
1000,8,3
116,20,3
186,45,3
587,12,3
314,38,3
689,12,2
907,16,2
928,25,4
469,31,1
565,21,4
399,47,4
495,15,2
615,27,4
452,15,5
203,23,2
245,35,1
479,19,3
703,38,2
316,20,4
858,44,3
416,10,4
611,14,3
979,1,4
295,31,5
323,14,2
11,40,1
955,44,2
144,20,1
488,23,1
804,12,5
903,13,1
67,25,2
666,19,4
506,6,5
624,40,4
943,20,4
432,14,2
287,1,3
197,47,5
81,20,3
832,2,3
205,38,5
870,6,2
392,24,1
181,15,4
619,4,2
607,35,3
44,21,3
340,22,2
299,36,2
965,6,2
606,1,3
478,18,4
437,22,2
305,3,2
22,46,1
970,4,3
579,34,5
45,13,1
517,22,2
294,6,4
18,31,2
248,15,3
428,20,1
446,30,3
358,39,4
893,2,5
182,44,2
518,46,3
143,29,3
962,11,1
735,21,1
936,33,3
935,11,3
568,33,3
168,5,1
824,41,1
791,15,2
38,14,2
992,38,1
785,14,3
932,7,1
653,18,1
157,13,1
155,5,1
470,23,3
574,35,1
830,19,1
427,33,3
184,9,2
593,3,4
426,13,2
434,13,3
194,26,1
809,26,2
560,20,5
260,27,2
91,26,3
507,1,2
663,38,3
720,25,1
247,37,4
697,28,1
687,7,3
671,39,1
322,27,2
963,10,3
650,25,2
805,27,2
