,retained
296,1
805,1
822,0
19,1
418,1
38,1
521,1
116,1
382,0
613,0
99,1
741,1
188,1
996,0
841,1
306,1
911,1
424,1
944,1
416,0
471,1
920,1
250,1
260,1
907,1
543,1
684,1
681,1
316,1
228,0
763,0
125,1
615,1
779,1
161,1
131,1
491,1
537,1
118,1
498,1
774,1
375,1
566,1
458,0
239,1
113,1
809,1
624,1
420,1
86,1
241,1
563,1
547,0
173,1
233,1
539,0
408,0
450,1
488,1
608,1
6,1
658,1
952,0
794,1
519,1
535,1
27,1
460,1
611,1
882,1
447,1
871,1
111,1
324,0
335,1
667,0
24,1
832,1
937,1
724,1
9,1
169,1
285,1
819,1
481,1
300,1
402,1
177,0
629,0
2,0
828,1
150,0
620,1
929,1
444,1
419,1
747,1
910,1
360,1
810,1
958,1
59,0
329,1
845,1
582,1
281,0
0,1
992,1
601,1
514,1
941,1
896,1
354,1
955,1
982,1
862,1
721,1
384,0
178,1
555,1
704,1
852,1
781,1
557,0
597,1
308,1
922,1
925,1
325,1
569,1
269,1
783,1
370,1
868,0
509,1
351,1
957,1
581,0
25,1
654,1
23,1
119,1
838,1
699,1
695,0
105,1
806,1
290,1
187,1
657,1
796,1
835,1
437,1
933,1
628,0
731,0
764,1
475,1
945,1
13,1
489,1
449,1
46,1
625,1
330,1
983,1
256,1
562,1
594,1
700,1
753,1
223,1
387,0
153,1
219,1
160,1
81,0
936,1
381,1
403,1
495,1
128,1
91,1
459,1
467,1
757,1
371,1
367,1
771,1
596,1
511,1
22,1
497,1
62,1
122,1
630,1
69,1
722,1
317,1
198,1
333,1
383,0
373,1
921,1
48,1
671,1
802,0
274,1
3,1
739,1
588,1
369,1
272,0
466,1
165,1
67,1
457,1
411,1
959,1
589,1
985,0
788,1
229,1
443,1
736,1
917,1
216,1
799,0
889,1
277,1
364,1
345,1
334,1
968,1
609,1
312,1
998,1
168,1
292,1
529,1
853,1
698,1
8,1
546,1
984,1
338,1
314,1
891,1
926,1
58,1
327,1
716,1
668,1
455,0
599,1
92,0
883,0
501,1
138,1
34,1
899,1
554,1
672,1
701,1
682,1
176,1
182,1
151,0
814,1
946,1
679,1
604,1
571,1
68,1
378,1
919,1
124,1
89,1
287,1
63,1
847,0
948,1
472,1
856,1
336,0
20,1
720,1
456,1
273,1
844,1
232,1
637,1
949,0
560,1
742,1
404,1
95,1
503,1
14,1
72,1
632,1
358,1
999,1
115,1
185,1
586,1
313,1
688,1
906,1
927,0
468,1
564,1
398,1
494,1
614,1
451,1
202,1
244,0
478,1
702,1
315,1
857,1
415,0
610,1
978,1
294,1
322,1
10,1
954,1
143,1
487,1
803,1
902,1
66,1
665,1
505,1
623,1
942,1
431,0
286,1
196,1
80,1
831,1
204,1
869,1
391,1
180,1
618,1
606,1
43,1
339,1
298,0
964,0
605,1
477,1
436,1
304,0
21,0
969,1
578,1
44,1
516,1
293,1
17,1
247,1
427,1
445,1
357,1
892,1
181,1
517,0
142,0
961,1
734,1
935,1
934,1
567,1
167,1
823,1
790,0
37,0
991,1
784,1
931,1
652,0
156,1
154,1
469,1
573,1
829,1
426,0
183,1
592,1
425,0
433,1
193,1
808,1
559,1
259,1
90,1
506,1
662,1
719,1
246,1
696,1
686,0
670,1
321,1
962,1
649,1
804,1
303,1
538,1
49,1
109,0
548,1
960,1
429,1
740,1
663,1
106,0
708,0
541,1
748,1
989,0
197,1
434,1
326,1
79,1
603,1
687,1
776,1
47,1
798,1
323,1
786,1
924,0
98,1
305,1
616,0
522,1
833,1
973,1
890,0
417,1
585,1
144,1
74,1
465,1
751,0
843,1
568,1
893,0
553,1
341,0
261,0
318,1
209,1
380,1
483,1
406,1
598,1
752,1
821,0
872,1
353,1
237,1
713,0
532,1
70,1
253,1
309,1
894,1
227,1
139,1
840,1
496,1
26,1
297,1
231,0
463,1
117,1
145,1
674,1
55,0
192,0
772,0
18,1
900,1
827,1
951,1
271,1
386,1
531,0
267,1
638,1
30,1
393,1
677,1
707,1
874,1
730,1
409,1
825,1
744,1
270,1
633,0
108,0
137,1
413,1
164,1
87,0
262,1
29,1
639,1
479,1
57,1
283,1
385,1
102,1
166,1
576,1
421,1
410,1
673,1
1,1
593,1
666,1
877,1
352,1
813,1
199,1
693,1
650,1
365,1
291,1
454,0
215,1
263,0
518,1
240,1
141,1
264,1
816,0
885,1
880,1
886,0
348,1
486,1
754,1
676,1
879,1
245,1
480,1
795,1
493,1
718,1
760,1
361,1
482,1
32,1
778,1
224,1
579,1
452,1
642,1
755,0
129,1
221,1
635,1
811,1
225,1
785,1
723,1
897,0
236,1
399,1
947,1
282,1
412,1
726,1
31,1
839,1
40,1
295,1
311,1
100,1
191,1
184,1
189,0
685,1
238,1
275,1
864,1
135,1
988,1
745,1
41,1
714,1
56,1
826,1
249,1
453,0
648,1
207,1
257,1
975,1
647,1
158,1
507,1
626,1
52,0
301,1
155,1
561,1
661,1
112,1
572,1
656,1
159,1
213,1
299,1
152,1
705,1
801,1
607,0
818,1
787,0
500,1
577,1
908,1
756,1
895,1
709,1
16,1
61,1
170,1
379,1
342,1
490,1
200,1
82,0
901,1
440,0
127,1
584,1
134,1
587,1
359,1
96,1
35,1
302,1
789,1
528,1
815,1
888,1
542,1
837,1
743,1
884,1
94,1
104,1
980,1
121,1
640,1
288,1
940,1
492,0
881,1
499,1
222,1
374,0
226,1
476,1
510,1
943,1
533,1
513,1
211,1
331,1
4,1
485,1
422,1
251,1
130,1
974,1
439,1
706,1
768,1
913,0
33,1
363,1
54,1
133,1
42,1
103,1
101,0
834,1
84,1
646,0
749,1
737,1
903,1
255,1
552,0
765,0
622,1
147,1
703,1
36,1
508,1
428,1
448,1
583,1
65,1
875,1
442,1
140,1
414,1
328,1
770,1
645,1
928,1
977,1
909,1
220,1
963,1
390,1
863,1
549,1
64,1
392,1
930,0
174,1
83,1
45,1
820,1
848,1
694,0
846,0
278,1
655,1
793,1
904,1
175,1
343,0
377,1
171,0
775,1
230,0
