School ID,School Name,Students,Retention Rate (%),Avg SES Quintile,Avg Commute (km),Avg Failed Subjects,Dropped Students,Fee Support Candidates
1,Kilimani Day Secondary,51,92.2,2.73,6.78,1.71,4,17
2,Nyandarua Mixed Secondary,51,74.5,2.63,6.62,1.82,13,20
3,Kisumu Lakeside Secondary,52,82.7,2.69,7.55,2.13,9,18
4,Machakos Hilltop Secondary,43,95.3,2.91,6.67,1.72,2,13
5,Nakuru Valley Secondary,54,83.3,2.81,6.35,1.89,9,18
6,Mombasa Coast Secondary,48,91.7,2.42,6.41,1.48,4,21
7,Eldoret Highlands Secondary,56,82.1,2.45,7.05,1.7,10,27
8,Thika Green Secondary,54,85.2,2.54,5.9,1.96,8,24
9,Kakamega Forest Secondary,52,92.3,2.46,5.36,1.5,4,21
10,Nyeri Ridge Secondary,57,75.4,2.19,7.44,1.89,14,33
11,Kitale Plains Secondary,43,95.3,2.49,6.38,1.53,2,19
12,Garissa Horizon Secondary,55,89.1,2.51,7.59,1.6,6,18
13,Meru Mountain Secondary,48,85.4,2.77,6.26,2.12,7,18
14,Bungoma West Secondary,47,85.1,2.66,7.43,1.64,7,16
15,Embu Sunrise Secondary,48,83.3,2.96,7.76,1.35,8,16
16,Kericho Highlands Secondary,47,80.9,2.79,7.45,1.64,9,19
17,Malindi Shore Secondary,41,92.7,2.61,6.46,1.61,3,16
18,Narok Savannah Secondary,57,77.2,2.61,6.99,1.6,13,23
19,Isiolo North Secondary,54,88.9,2.48,7.59,1.67,6,25
20,Busia Border Secondary,42,85.7,2.45,6.22,2.17,6,18
