Student ID,School ID,School Name,Age at Enrollment,Gender,SES Quintile,SES Label,Household Size Index,Commute Distance (km),Digital Access,Digital Access Score,School Feeding,GPA Trend,Failed Subjects,Science Strength,Chronic Health Risk,Health Absences (days),Social Integration Score,Cash Flow Volatility,Academic Catch-up Flag,Counseling Access,Retained,Retained Flag,Dropout Reason,Risk Persona,Academic Risk Index,Barrier Burden Index,Economic Instability Index,Health Burden Index,Support Coverage Score,Long Commute Flag,High Academic Risk Flag,No Digital Access Flag,Recommended Intervention,Recommended Cost (KES),Sponsor Priority Score,Model Risk Score (oracle)
1,18,Narok Savannah Secondary,15,Girl,1,Q1 — Lowest,3,6.02,Personal device,2.0,No,-0.546,0,Yes,Low,4,1,0.279,No,No,Yes,1,Still enrolled,Academic Strugglers,0.546,1.301,0.529,4,1.0,No,No,No,School Fee Support,15000.0,2.697,0.9572
2,4,Machakos Hilltop Secondary,17,Girl,3,Q3 — Middle,5,2.38,Shared device,1.0,No,-0.257,1,No,Low,5,2,0.306,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.257,1.219,0.456,5,1.5,No,No,No,,,,0.9784
3,1,Kilimani Day Secondary,16,Boy,2,Q2 — Low,4,1.34,No access,0.0,Yes,-2.745,5,No,Moderate,12,2,0.208,Yes,No,Yes,1,Still enrolled,Health-Constrained,7.745,1.867,0.408,24,1.0,No,Yes,Yes,Health & Attendance Support,5000.0,2.736,0.8595
4,13,Meru Mountain Secondary,14,Boy,4,Q4 — High,5,9.28,Personal device,2.0,No,-1.418,4,No,Low,7,0,0.199,Yes,Yes,Yes,1,Still enrolled,Stable Achievers,5.418,0.864,0.299,7,2.0,Yes,Yes,No,,,,0.7605
5,8,Thika Green Secondary,15,Girl,4,Q4 — High,5,1.53,No access,0.0,No,-0.244,1,No,Moderate,5,2,0.245,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.244,1.476,0.345,10,1.0,No,No,Yes,,,,0.9804
6,10,Nyeri Ridge Secondary,17,Girl,1,Q1 — Lowest,2,12.01,No access,0.0,Yes,-0.866,2,No,Low,6,1,0.241,No,Yes,No,0,Commute Distance,Academic Strugglers,2.866,2.601,0.491,6,2.0,Yes,No,Yes,School Fee Support,15000.0,2.673,0.7448
7,2,Nyandarua Mixed Secondary,17,Boy,4,Q4 — High,3,8.35,Shared device,1.0,Yes,0.131,2,No,Low,4,0,0.236,No,No,No,0,Psychosocial,Stable Achievers,1.869,1.318,0.336,4,1.5,Yes,No,No,Transport / Boarding Support,6000.0,0.891,0.9417
8,8,Thika Green Secondary,14,Girl,1,Q1 — Lowest,12,7.83,,,Yes,-1.371,1,No,Low,3,0,0.32,No,No,No,0,Household Pressure,Academic Strugglers,2.371,,0.57,3,,No,No,No,School Fee Support,15000.0,3.275,0.7355
9,13,Meru Mountain Secondary,14,Boy,3,Q3 — Middle,3,9.61,No access,0.0,Yes,-0.399,1,No,Low,5,1,0.236,No,No,Yes,1,Still enrolled,Academic Strugglers,1.399,2.081,0.386,5,1.0,Yes,No,Yes,,,,0.8835
10,8,Thika Green Secondary,13,Girl,1,Q1 — Lowest,4,3.77,No access,0.0,Yes,-1.608,2,No,Low,5,1,0.32,No,Yes,No,0,Financial Instability,Academic Strugglers,3.608,2.188,0.57,5,2.0,No,No,Yes,School Fee Support,15000.0,3.338,0.8759
11,17,Malindi Shore Secondary,16,Boy,1,Q1 — Lowest,3,7.16,No access,0.0,Yes,-0.313,1,No,Low,2,2,0.233,No,No,Yes,1,Still enrolled,Academic Strugglers,1.313,2.358,0.483,2,1.0,No,No,Yes,,,,0.9454
12,16,Kericho Highlands Secondary,14,Boy,5,Q5 — Highest,5,8.04,Shared device,1.0,No,-0.416,1,No,Moderate,10,2,0.146,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.416,1.102,0.196,20,1.5,Yes,No,No,,,,0.9433
13,15,Embu Sunrise Secondary,14,Boy,4,Q4 — High,5,8.44,No access,0.0,No,0.063,0,Yes,High,20,1,0.237,No,No,No,0,Health Related,Health-Constrained,-0.063,1.822,0.337,60,0.0,Yes,No,Yes,Health & Attendance Support,5000.0,1.612,0.8071
14,19,Isiolo North Secondary,14,Girl,2,Q2 — Low,1,10.31,No access,0.0,Yes,-1.385,1,No,Low,2,1,0.283,No,No,No,0,Financial Instability,Academic Strugglers,2.385,2.316,0.483,2,1.0,Yes,No,Yes,School Fee Support,15000.0,2.902,0.9328
